"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2046","Проверка, что заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","Wed Oct 30 22:34:57 MSK 2024","broken","Wed Oct 30 22:35:00 MSK 2024","TestFeedOrder","test_feed_order","",""
"","4530","Проверка, что при нажатии на кнопку ""Восстановить пароль"" происходит переход на страницу восстановления пароля","tests","Wed Oct 30 22:48:53 MSK 2024","passed","Wed Oct 30 22:48:57 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","6317","Проверка ввода почты и клика по кнопке ""Восстановить""","tests","Wed Oct 30 22:49:50 MSK 2024","passed","Wed Oct 30 22:49:56 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","3533","Проверка увеличения счётчика ингредиента при добавлении в корзину","tests","Wed Oct 30 22:44:46 MSK 2024","failed","Wed Oct 30 22:44:50 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","7357","Проверка, что при создании заказа значения счётчиков заказов За все время и Сегодня увеличиваются","tests","Wed Oct 30 22:36:47 MSK 2024","passed","Wed Oct 30 22:36:54 MSK 2024","TestFeedOrder","test_feed_order","",""
"","14125","Проверка, что заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","Wed Oct 30 22:32:57 MSK 2024","passed","Wed Oct 30 22:33:11 MSK 2024","TestFeedOrder","test_feed_order","",""
"","3208","Проверка переходов с кнопок ""Конструктор"" и ""Лента Заказов"" верхнего меню","tests","Wed Oct 30 22:43:19 MSK 2024","passed","Wed Oct 30 22:43:22 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2664","Проверка переходов с кнопок ""Конструктор"" и ""Лента Заказов"" верхнего меню","tests","Wed Oct 30 22:43:40 MSK 2024","broken","Wed Oct 30 22:43:42 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","7661","Проверка, что после оформления заказа его номер появляется в разделе В работе","tests","Wed Oct 30 22:40:32 MSK 2024","passed","Wed Oct 30 22:40:40 MSK 2024","TestFeedOrder","test_feed_order","",""
"","4035","Проверка, что при создании заказа значения счётчиков заказов За все время и Сегодня увеличиваются","tests","Wed Oct 30 22:38:42 MSK 2024","broken","Wed Oct 30 22:38:46 MSK 2024","TestFeedOrder","test_feed_order","",""
"","3170","Авторизованный пользователь может сделать заказ","tests","Wed Oct 30 22:47:56 MSK 2024","passed","Wed Oct 30 22:47:59 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4171","Проверка, что если кликнуть на заказ, откроется всплывающее окно с деталями","tests","Wed Oct 30 22:31:22 MSK 2024","passed","Wed Oct 30 22:31:26 MSK 2024","TestFeedOrder","test_feed_order","",""
"","3844","Проверка функционирования всплывающего окна с деталями ингредиента","tests","Wed Oct 30 22:43:53 MSK 2024","passed","Wed Oct 30 22:43:57 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3462","Проверка, что клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его""","tests","Wed Oct 30 22:50:06 MSK 2024","passed","Wed Oct 30 22:50:10 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","4712","Проверка, что если кликнуть на заказ, откроется всплывающее окно с деталями","tests","Wed Oct 30 22:31:45 MSK 2024","passed","Wed Oct 30 22:31:50 MSK 2024","TestFeedOrder","test_feed_order","",""
"","1030","Проверка фукциональности ""Личного кабинета""","tests","Wed Oct 30 22:51:44 MSK 2024","passed","Wed Oct 30 22:51:45 MSK 2024","TestPersonalAccount","test_personal_account","",""
"","2438","Проверка, что при нажатии на кнопку ""Восстановить пароль"" происходит переход на страницу восстановления пароля","tests","Wed Oct 30 22:49:15 MSK 2024","broken","Wed Oct 30 22:49:18 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","1090","Проверка фукциональности ""Личного кабинета""","tests","Wed Oct 30 22:53:50 MSK 2024","passed","Wed Oct 30 22:53:51 MSK 2024","TestPersonalAccount","test_personal_account","",""
"","4068","Авторизованный пользователь может сделать заказ","tests","Wed Oct 30 22:45:53 MSK 2024","passed","Wed Oct 30 22:45:57 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2692","Проверка функционирования всплывающего окна с деталями ингредиента","tests","Wed Oct 30 22:44:15 MSK 2024","broken","Wed Oct 30 22:44:18 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2118","Проверка, что после оформления заказа его номер появляется в разделе В работе","tests","Wed Oct 30 22:42:27 MSK 2024","broken","Wed Oct 30 22:42:30 MSK 2024","TestFeedOrder","test_feed_order","",""
"","12829","Проверка, что клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его""","tests","Wed Oct 30 22:50:28 MSK 2024","broken","Wed Oct 30 22:50:40 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","3640","Проверка ввода почты и клика по кнопке ""Восстановить""","tests","Wed Oct 30 22:49:28 MSK 2024","passed","Wed Oct 30 22:49:32 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","4260","Проверка увеличения счётчика ингредиента при добавлении в корзину","tests","Wed Oct 30 22:44:24 MSK 2024","passed","Wed Oct 30 22:44:28 MSK 2024","TestMainFunctionality","test_main_functionality","",""
